NDVI,TWI,Insolation,Slope,Elevation
0.3632436097,8.76933479,19.495008469,0.0992339626,336.9225769
0.4672801495,10.06167603,20.476196289,0.1023444831,336.9977417
0.4672801495,9.96541977,19.401041031,0.1023977175,336.99285889
0.4672801495,8.97516537,19.499782562,0.1023977175,336.98797607
0.4672801495,8.69718361,19.5,0.1023977175,336.98309326
0.574708581,8.60874271,19.5,0.1023977175,336.96356201
0.574708581,8.5993166,19.5,0.1023977175,336.9586792
0.574708581,8.59029961,19.5,0.1023977175,336.95379639
0.5583392978,8.58158684,19.5,0.1023977175,336.94891357
0.5583392978,8.5731678,19.5,0.1023977175,336.94403076
0.5375048518,8.56547356,19.5,0.1023977175,336.93914795
0.4672801495,8.64971924,19.5,0.10241016,336.97821045
0.5553908944,8.61903954,19.5,0.1024678201,336.96844482
0.5553908944,8.63140488,19.5,0.1025006995,336.97332764
0.2961165011,8.5190134,18.5,0.1025519297,386.44293213
0.2276214808,8.53189278,18.5,0.1025519297,386.43804932
0.2276214808,8.54600525,18.5,0.1025519297,386.4331665
0.2276214808,8.56102943,18.510416031,0.1025519297,386.42828369
0.2276214808,8.57638931,18.75,0.1025519297,386.42340088
0.2276214808,8.59205818,18.989583969,0.1025519297,386.41851807
0.1293846965,8.60854816,19,0.1025519297,386.41363525
0.1293846965,8.62677193,19,0.1025819853,386.40875244
0.3494558632,9.09793377,18.9897995,0.1026437357,382.42773438
0.0084210522,9.15725994,19,0.1026437357,382.40332031
0.3338323236,9.28988552,19,0.1026437357,382.35449219
0.4250808358,8.14842129,19,0.1026757881,337.08047485
0.4250808358,8.17283916,19,0.1026757881,337.07559204
0.4521768987,8.19684887,19,0.1026757881,337.07070923
0.4521768987,8.22093582,19,0.1026757881,337.06582642
0.5026014447,8.24538326,19,0.1026757881,337.0609436
0.5026014447,8.27051735,19,0.1026757881,337.05606079
0.5026014447,8.29698372,19,0.1026757881,337.05117798
0.5026014447,8.32891464,19,0.1026757881,337.04629517
0.5026014447,8.37520123,19,0.1026757881,337.04141235
0.5260763168,8.44609261,19,0.1026757881,337.03652954
0.0847784206,9.31416988,18.999782562,0.1027039811,382.34472656
0.3012658358,9.08705425,18.634765625,0.1027100384,382.43261719
0.4672801495,10.05232525,21.693153381,0.1028897017,337.00057983
0.1715481132,9.9569416,21.927528381,0.1029595062,337.00256348
0.5375048518,8.60142136,19.5,0.1030582488,336.92599487
0.0847784206,9.30299664,18.999782562,0.1030896008,382.34960938
0.0847784206,9.32343006,18.999565125,0.1033385694,382.33984375
0.5375048518,8.98220444,19.499782562,0.1033761576,336.92599487
0.3632436097,8.5930624,19.5,0.1034135073,336.92260742
0.2961165011,8.5061388,18.5,0.1034182906,386.44781494
0.2440367043,8.4888401,19.72287178,0.1036109626,337.04177856
0.1715481132,9.89670849,21.920358658,0.1037285253,337.00393677
0.4672801495,10.02832794,21.511287689,0.1037995294,337.00228882
0.4250808358,8.12152481,19,0.1038364992,337.08535767
0.5375048518,8.56316471,19.5,0.1038601697,336.93426514
0.0847784206,9.33106613,18.999349594,0.1040945798,382.33496094
0.1715481132,8.65897274,19,0.1041113436,337.0072937
0.2440367043,8.51040649,19,0.1041126549,337.03488159
0.2290155441,8.58928394,19,0.1041126549,337.02108765
0.2290155441,8.58229542,19,0.1041126549,337.02108765
0.2440367043,8.52671814,19.039171219,0.1041147262,337.03488159
0.2440367043,8.53108978,19,0.1041172072,337.03143311
0.2290155441,8.60913277,19,0.1041172072,337.01763916
0.2290155441,8.5992136,19,0.1041172072,337.01763916
0.5375048518,9.05390358,19.5,0.1041172072,336.93634033
0.5375048518,9.98034477,19.5,0.1041172072,336.93634033
0.2440367043,8.54339218,19.060220718,0.1041173115,337.03143311
0.4672801495,10.20762062,20.005260468,0.1041425094,336.99575806
0.5375048518,8.64413357,19.5,0.1041428372,336.92944336
0.5375048518,9.26461315,19.5,0.104183726,336.92944336
0.1715481132,8.65265751,18.999782562,0.1041899622,337.00384521
0.2440367043,8.50810814,19.049369812,0.1041937769,337.03833008
0.4672801495,9.42789555,19.5,0.1041983739,336.98599243
0.574708581,8.60514736,19.5,0.1041983739,336.95669556
0.5583392978,8.59356022,19.5,0.1041983739,336.95181274
0.5583392978,8.58343124,19.5,0.1041983739,336.94692993
0.4672801495,9.90226746,19.19140625,0.1041983813,336.99575806
0.4672801495,8.99583912,19.484592438,0.1041983813,336.99087524
0.4672801495,10.24188042,19.49609375,0.1041983813,336.99087524
0.4672801495,8.6746006,19.5,0.1041983813,336.98599243
0.574708581,8.59765816,19.5,0.1041983813,336.96157837
0.574708581,8.59004307,19.5,0.1041983813,336.95669556
0.574708581,8.58235645,19.5,0.1041983813,336.95181274
0.5583392978,8.574687,19.5,0.1041983813,336.94692993
0.5375048518,8.56702709,19.5,0.1041983813,336.94204712
0.5375048518,8.56033707,19.5,0.1041983813,336.93716431
0.2440367043,8.46834183,19.030273438,0.104200542,337.04177856
0.1715481132,8.62241745,18.999782562,0.1042025611,337.0072937
0.574708581,8.61888313,19.5,0.1042089164,336.96157837
0.5583392978,8.57468891,19.5,0.1042120382,336.94204712
0.5180892348,9.43744373,19.369791031,0.1042125523,337.06906128
0.2290155441,8.62022209,19,0.1042193398,337.01074219
0.2440367043,8.48905277,19.001302719,0.1042208597,337.03833008
